sector_name,board_type,change_pct,advancers_ratio,leader_change_pct,turnover_rate,liquidity_metric,hot_score,source
ST板块,concept,1.3162370306821822,0.6918918918918919,20.2247191011236,35860963.12990196,35860963.12990196,83.9,mootdx
物联网,concept,-0.04053401522469853,0.6074270557029178,19.946452476572972,373126424.65956074,373126424.65956074,79.76,mootdx
含B股,concept,0.5117086718549196,0.7121212121212122,10.05524861878453,184591134.32394367,184591134.32394367,78.41,mootdx
ST板块,industry,1.2059214329740051,0.6212121212121212,10.05291005291005,42377484.45608108,42377484.45608108,77.32,mootdx
上海自贸,concept,0.22135918135343516,0.6049382716049383,10.031678986272432,253231729.42168674,253231729.42168674,74.03,mootdx
上海自贸,industry,0.22135918135343516,0.6049382716049383,10.031678986272432,253231729.42168674,253231729.42168674,74.03,mootdx
海南自贸,concept,0.6985124320058723,0.7333333333333333,10.000000000000005,175051993.69148937,175051993.69148937,73.78,mootdx
海南自贸,industry,0.6985124320058723,0.7333333333333333,10.000000000000005,175051993.69148937,175051993.69148937,73.78,mootdx
海峡西岸,concept,-0.3623239856714258,0.5859872611464968,10.034904013961594,259404832.45031056,259404832.45031056,68.17,mootdx
海峡西岸,industry,-0.3623239856714258,0.5859872611464968,10.034904013961594,259404832.45031056,259404832.45031056,68.17,mootdx
雄安新区,concept,0.1481263545525161,0.5818181818181818,10.039113428943931,139584340.92608696,139584340.92608696,66.95,mootdx
雄安新区,industry,0.032813135769385646,0.5614973262032086,10.039113428943931,151229464.71938777,151229464.71938777,65.73,mootdx
融资融券,industry,-0.19355293041555088,0.4682080924855491,10.014727540500733,416736514.4175824,416736514.4175824,64.64,mootdx
一带一路,concept,-0.6134825568253507,0.5284974093264249,20.013850415512483,169944637.99625,169944637.99625,61.59,mootdx
一带一路,industry,-0.6134825568253507,0.5284974093264249,20.013850415512483,169944637.99625,169944637.99625,61.59,mootdx
中证A50,industry,-0.4702675304735543,0.48936170212765956,6.306306306306316,2397501760.32,2397501760.32,60.73,mootdx
深证成指,industry,-0.4051151951965123,0.5277777777777778,6.097560975609747,837921733.4615384,837921733.4615384,58.78,mootdx
粤港澳,industry,-0.5997860141090444,0.4723127035830619,10.000000000000009,220381966.82006368,220381966.82006368,55.0,mootdx
碳中和,concept,-0.7726794836043847,0.4895397489539749,10.130718954248367,185855651.68235293,185855651.68235293,54.03,mootdx
专精特新,industry,-0.8288248985135838,0.4393939393939394,19.90171990171989,224682821.681875,224682821.681875,53.53,mootdx
含可转债,concept,-0.840128197848941,0.44966442953020136,19.946452476572972,178098587.52750808,178098587.52750808,51.58,mootdx
上证50,industry,-0.7598515840165134,0.42,2.462213554363726,2234297975.68,2234297975.68,46.83,mootdx
粤港澳,concept,-0.6302231080802277,0.4485294117647059,9.991809991809982,188939334.72759858,188939334.72759858,46.22,mootdx
中证A100,industry,-1.062316909451796,0.40816326530612246,9.992912827781716,2253121079.84,2253121079.84,45.98,mootdx
创投概念,concept,-1.213221921127703,0.5833333333333334,10.00781860828772,228184627.38636363,228184627.38636363,43.66,mootdx
沪深300,industry,-1.050836223586074,0.41694915254237286,6.306306306306316,1350261681.24,1350261681.24,42.68,mootdx
通达信88,concept,-1.0772593815713378,0.4069767441860465,9.992912827781716,1955658715.4772727,1955658715.4772727,42.68,mootdx
通达信88,industry,-1.0772593815713378,0.4069767441860465,9.992912827781716,1955658715.4772727,1955658715.4772727,42.68,mootdx
国防军工,concept,-1.2570193821238609,0.37894736842105264,11.965811965811977,263986499.9390863,263986499.9390863,41.46,mootdx
大飞机,concept,-0.8500132867509291,0.3262411347517731,10.03584229390682,191323066.6283784,191323066.6283784,40.97,mootdx
黄金概念,concept,-0.7404003996618964,0.32051282051282054,3.2570138664946837,340839117.7654321,340839117.7654321,38.9,mootdx
5G概念,concept,-1.915677941556698,0.3783068783068783,16.15384615384615,688762992.3694805,688762992.3694805,38.54,mootdx
军民融合,concept,-1.4967672418422537,0.3615819209039548,10.130718954248367,198154945.86413044,198154945.86413044,35.73,mootdx
含H股,concept,-1.1312640229682787,0.31958762886597936,9.98937300743889,847490011.9698492,847490011.9698492,34.27,mootdx
深证50,industry,-1.7991439838308652,0.3958333333333333,4.27184466019417,2916279429.92,2916279429.92,30.97,mootdx
创业板指,industry,-2.640975441539545,0.26,6.64470071389347,1759040600.8,1759040600.8,24.03,mootdx
科创50,industry,-2.578020186611893,0.22448979591836735,4.29835651074589,1578003972.8,1578003972.8,22.32,mootdx
含GDR,concept,-1.5881000874996756,0.17391304347826086,2.9830038154699943,580816279.3043479,580816279.3043479,21.58,mootdx
稀缺资源,concept,-1.627005243746171,0.1774193548387097,2.00166805671393,473332148.8730159,473332148.8730159,19.63,mootdx
精选指数,industry,-2.8331932280205026,0.0,-0.9779044903777625,446751064064.0,446751064064.0,18.17,mootdx
次新股,concept,-2.9972247461622707,0.2602739726027397,3.667790893760544,679372808.7972972,679372808.7972972,17.19,mootdx
