sector_name,board_type,change_pct,advancers_ratio,leader_change_pct,liquidity_metric,hot_score,source
5G概念,concept,-0.013707077519214721,0.3592964824120603,12.340714181888655,1073971984.055,93.42,mootdx
稀缺资源,concept,-0.47328023780275963,0.3333333333333333,6.647398843930627,1127997722.5,79.21,mootdx
专精特新,industry,-0.8601884316767086,0.2656641604010025,12.340714181888655,407130977.575,75.66,mootdx
中证A100,industry,-0.6312701897350308,0.2727272727272727,5.395064090300364,2758423199.84,75.52,mootdx
含H股,concept,-0.8253847330871346,0.1853932584269663,10.013812154696128,1140034324.5621622,72.76,mootdx
粤港澳,concept,-0.8981905701273072,0.21739130434782608,11.005256241787114,481258447.40804595,71.32,mootdx
粤港澳,industry,-0.8981905701273072,0.21739130434782608,11.005256241787114,481258447.40804595,71.32,mootdx
中证A50,industry,-0.8275736163068983,0.22448979591836735,5.395064090300364,3170844301.44,70.13,mootdx
ST板块,concept,-0.5360846366758322,0.3772455089820359,8.232931726907616,69773821.35674158,69.21,mootdx
ST板块,industry,-0.009694350793716569,0.4225352112676056,5.057096247960857,89087706.25657895,67.9,mootdx
沪深300,industry,-0.9166450986878915,0.20068027210884354,9.999166041197572,1672750693.5117056,66.58,mootdx
国防军工,concept,-1.0208466386683446,0.24685138539042822,10.021171489061397,607212350.3483709,64.34,mootdx
含GDR,concept,-0.7718869262624908,0.21739130434782608,2.939211756847024,973689555.4782609,63.95,mootdx
军民融合,concept,-0.8965085660205359,0.22282608695652173,9.95751460435475,470297709.94054055,63.03,mootdx
深证50,industry,-0.9468656058979517,0.22,5.395064090300364,3002497785.12,61.58,mootdx
大飞机,concept,-0.9560249551840215,0.2,10.010537407797674,559303987.0204082,60.13,mootdx
物联网,concept,-1.1112663474943372,0.23232323232323232,9.998593728027,575099366.9175,57.37,mootdx
含可转债,concept,-1.1950922741432963,0.24355300859598855,14.433667598224561,366870807.43874645,55.66,mootdx
通达信88,concept,-0.9707098756899817,0.18604651162790697,6.31229235880399,1908609700.8181818,55.13,mootdx
通达信88,industry,-0.9707098756899817,0.18604651162790697,6.31229235880399,1908609700.8181818,55.13,mootdx
一带一路,concept,-1.112798717103335,0.2040302267002519,10.059880239520957,422307556.9,52.89,mootdx
一带一路,industry,-1.112798717103335,0.2040302267002519,10.059880239520957,422307556.9,52.89,mootdx
上证50,industry,-0.9712675969068659,0.1836734693877551,2.9209621993127146,2171817870.72,47.63,mootdx
融资融券,industry,-1.1684908264260443,0.16526610644257703,10.04566210045663,668970452.4877384,47.63,mootdx
碳中和,concept,-1.3434375688309996,0.17928286852589642,11.005256241787114,401073686.11764705,42.1,mootdx
深证成指,industry,-1.0984967562073358,0.1282051282051282,4.465334900117518,1006139610.7692307,37.76,mootdx
黄金概念,concept,-1.3206850098212002,0.12658227848101267,6.7168674698795074,755343390.4390244,34.61,mootdx
海峡西岸,concept,-1.515482841740296,0.18125,9.99546690843156,473735145.11180127,33.42,mootdx
海峡西岸,industry,-1.515482841740296,0.18125,9.99546690843156,473735145.11180127,33.42,mootdx
创投概念,concept,-2.900398850684404,0.13513513513513514,10.010537407797674,609210042.5789474,26.71,mootdx
雄安新区,concept,-1.9386847731989287,0.1762114537444934,10.021171489061397,307020647.95633185,25.92,mootdx
雄安新区,industry,-1.9386847731989287,0.1762114537444934,10.021171489061397,307020647.95633185,25.92,mootdx
次新股,concept,-1.383578850214136,0.13924050632911392,8.030447193149378,233467085.94936708,25.66,mootdx
海南自贸,concept,-1.4490654105285357,0.17391304347826086,5.997931747673217,418497120.63829786,24.87,mootdx
海南自贸,industry,-1.4490654105285357,0.17391304347826086,5.997931747673217,418497120.63829786,24.87,mootdx
上海自贸,concept,-1.5444284381073,0.10975609756097561,9.99401555954517,481151113.313253,24.21,mootdx
上海自贸,industry,-1.5444284381073,0.10975609756097561,9.99401555954517,481151113.313253,24.21,mootdx
含B股,concept,-1.5805475177707917,0.056338028169014086,9.99401555954517,211208980.05555555,15.92,mootdx
